,roll_no,name,exam1,exam2,final_exam,obtain,total,per,grade,class
50,SMIT/DSAI/051,John Malik,18,14,49,81,100,81.0,A,DSAI
51,SMIT/DSAI/052,Hina Khan,12,22,27,61,100,61.0,C,DSAI
52,SMIT/DSAI/053,Ali Iqbal,19,20,25,64,100,64.0,C,DSAI
53,SMIT/DSAI/054,Ahmed Johnson,23,16,9,48,100,48.0,F,DSAI
54,SMIT/DSAI/055,Ahmed Ali,23,10,28,61,100,61.0,C,DSAI
55,SMIT/DSAI/056,Ahmed Khan,11,1,15,27,100,27.0,F,DSAI
56,SMIT/DSAI/057,Hina Ali,10,12,32,54,100,54.0,C,DSAI
57,SMIT/DSAI/058,Ahmed Johnson,1,24,41,66,100,66.0,C,DSAI
58,SMIT/DSAI/059,John Ali,24,17,34,75,100,75.0,B,DSAI
59,SMIT/DSAI/060,Sara Brown,10,9,21,40,100,40.0,F,DSAI
60,SMIT/DSAI/061,Sara Johnson,11,7,2,20,100,20.0,F,DSAI
61,SMIT/DSAI/062,Ali Khan,22,1,47,70,100,70.0,C,DSAI
62,SMIT/DSAI/063,Sara Smith,3,9,32,44,100,44.0,F,DSAI
63,SMIT/DSAI/064,Ahmed Zahid,10,5,46,61,100,61.0,C,DSAI
64,SMIT/DSAI/065,Michael Iqbal,6,18,46,70,100,70.0,C,DSAI
65,SMIT/DSAI/066,Fatima Brown,23,23,1,47,100,47.0,F,DSAI
66,SMIT/DSAI/067,Sara Smith,14,21,49,84,100,84.0,A,DSAI
67,SMIT/DSAI/068,Michael Ahmed,24,24,14,62,100,62.0,C,DSAI
68,SMIT/DSAI/069,Sara Malik,18,8,6,32,100,32.0,F,DSAI
69,SMIT/DSAI/070,Michael Iqbal,9,5,22,36,100,36.0,F,DSAI
70,SMIT/DSAI/071,Ayesha Iqbal,12,20,39,71,100,71.0,B,DSAI
71,SMIT/DSAI/072,John Hussain,3,9,1,13,100,13.0,F,DSAI
72,SMIT/DSAI/073,Noor Ali,7,13,1,21,100,21.0,F,DSAI
73,SMIT/DSAI/074,Ahmed Smith,24,15,48,87,100,87.0,A,DSAI
74,SMIT/DSAI/075,Ayesha Iqbal,7,25,22,54,100,54.0,C,DSAI
75,SMIT/DSAI/076,Sara Smith,15,18,41,74,100,74.0,B,DSAI
76,SMIT/DSAI/077,Hina Malik,12,23,33,68,100,68.0,C,DSAI
77,SMIT/DSAI/078,Michael Khan,17,13,40,70,100,70.0,C,DSAI
78,SMIT/DSAI/079,Hina Ali,4,12,35,51,100,51.0,C,DSAI
79,SMIT/DSAI/080,Noor Ahmed,2,11,45,58,100,57.99999999999999,C,DSAI
80,SMIT/DSAI/081,David Zahid,0,6,14,20,100,20.0,F,DSAI
81,SMIT/DSAI/082,Ali Iqbal,3,3,36,42,100,42.0,F,DSAI
82,SMIT/DSAI/083,Ahmed Ali,14,17,45,76,100,76.0,B,DSAI
83,SMIT/DSAI/084,Ayesha Brown,5,18,12,35,100,35.0,F,DSAI
84,SMIT/DSAI/085,Hina Smith,17,19,1,37,100,37.0,F,DSAI
85,SMIT/DSAI/086,Hina Ali,13,5,35,53,100,53.0,C,DSAI
86,SMIT/DSAI/087,Michael Khan,8,23,30,61,100,61.0,C,DSAI
87,SMIT/DSAI/088,Noor Iqbal,11,0,9,20,100,20.0,F,DSAI
88,SMIT/DSAI/089,Ahmed Johnson,6,6,2,14,100,14.000000000000002,F,DSAI
89,SMIT/DSAI/090,Michael Hussain,9,25,34,68,100,68.0,C,DSAI
90,SMIT/DSAI/091,Noor Johnson,6,0,26,32,100,32.0,F,DSAI
91,SMIT/DSAI/092,Ahmed Malik,4,8,35,47,100,47.0,F,DSAI
92,SMIT/DSAI/093,Noor Smith,24,15,12,51,100,51.0,C,DSAI
93,SMIT/DSAI/094,Ali Johnson,21,4,7,32,100,32.0,F,DSAI
94,SMIT/DSAI/095,Ahmed Zahid,21,22,11,54,100,54.0,C,DSAI
95,SMIT/DSAI/096,John Malik,4,18,50,72,100,72.0,B,DSAI
96,SMIT/DSAI/097,Ahmed Smith,7,14,9,30,100,30.0,F,DSAI
97,SMIT/DSAI/098,Ahmed Ali,9,13,33,55,100,55.00000000000001,C,DSAI
98,SMIT/DSAI/099,Ahmed Khan,24,4,39,67,100,67.0,C,DSAI
99,SMIT/DSAI/100,Noor Zahid,22,14,22,58,100,57.99999999999999,C,DSAI
100,SMIT/DM/001,Noor Hussain,15,8,34,57,100,56.99999999999999,C,DM
101,SMIT/DM/002,Fatima Ahmed,17,14,2,33,100,33.0,F,DM
102,SMIT/DM/003,David Johnson,16,4,41,61,100,61.0,C,DM
103,SMIT/DM/004,Michael Khan,21,18,21,60,100,60.0,C,DM
104,SMIT/DM/005,Noor Malik,22,23,33,78,100,78.0,B,DM
105,SMIT/DM/006,Hina Johnson,2,17,17,36,100,36.0,F,DM
106,SMIT/DM/007,Sara Khan,4,22,21,47,100,47.0,F,DM
107,SMIT/DM/008,David Ali,2,4,9,15,100,15.0,F,DM
108,SMIT/DM/009,Sara Iqbal,19,17,49,85,100,85.0,A,DM
109,SMIT/DM/010,Ayesha Zahid,21,12,42,75,100,75.0,B,DM
110,SMIT/DM/011,Ayesha Zahid,13,19,28,60,100,60.0,C,DM
111,SMIT/DM/012,Sara Smith,15,22,33,70,100,70.0,C,DM
112,SMIT/DM/013,David Smith,5,14,40,59,100,59.0,C,DM
113,SMIT/DM/014,Ahmed Khan,1,23,29,53,100,53.0,C,DM
114,SMIT/DM/015,Hina Zahid,13,25,36,74,100,74.0,B,DM
115,SMIT/DM/016,David Johnson,24,11,17,52,100,52.0,C,DM
116,SMIT/DM/017,Ayesha Johnson,21,12,1,34,100,34.0,F,DM
117,SMIT/DM/018,Sara Ahmed,20,2,29,51,100,51.0,C,DM
118,SMIT/DM/019,Ayesha Johnson,12,1,49,62,100,62.0,C,DM
119,SMIT/DM/020,Michael Ahmed,20,0,1,21,100,21.0,F,DM
120,SMIT/DM/021,Ahmed Malik,19,17,34,70,100,70.0,C,DM
121,SMIT/DM/022,Michael Ahmed,8,1,24,33,100,33.0,F,DM
122,SMIT/DM/023,Fatima Malik,1,18,35,54,100,54.0,C,DM
123,SMIT/DM/024,Hina Hussain,24,16,5,45,100,45.0,F,DM
124,SMIT/DM/025,Hina Hussain,6,19,37,62,100,62.0,C,DM
125,SMIT/DM/026,John Khan,13,15,4,32,100,32.0,F,DM
126,SMIT/DM/027,Michael Zahid,21,0,10,31,100,31.0,F,DM
127,SMIT/DM/028,Fatima Hussain,12,6,21,39,100,39.0,F,DM
128,SMIT/DM/029,David Johnson,9,20,33,62,100,62.0,C,DM
129,SMIT/DM/030,Sara Ali,25,4,37,66,100,66.0,C,DM
130,SMIT/DM/031,John Iqbal,13,3,24,40,100,40.0,F,DM
131,SMIT/DM/032,Hina Ali,17,21,39,77,100,77.0,B,DM
132,SMIT/DM/033,Fatima Iqbal,10,6,50,66,100,66.0,C,DM
133,SMIT/DM/034,Ayesha Iqbal,22,19,40,81,100,81.0,A,DM
134,SMIT/DM/035,John Johnson,24,16,22,62,100,62.0,C,DM
135,SMIT/DM/036,David Iqbal,24,0,23,47,100,47.0,F,DM
136,SMIT/DM/037,Noor Smith,5,1,29,35,100,35.0,F,DM
137,SMIT/DM/038,John Zahid,14,13,46,73,100,73.0,B,DM
138,SMIT/DM/039,Sara Hussain,24,13,34,71,100,71.0,B,DM
139,SMIT/DM/040,Fatima Malik,20,25,2,47,100,47.0,F,DM
140,SMIT/DM/041,John Iqbal,3,21,44,68,100,68.0,C,DM
141,SMIT/DM/042,Noor Iqbal,20,23,3,46,100,46.0,F,DM
142,SMIT/DM/043,Sara Iqbal,5,3,6,14,100,14.000000000000002,F,DM
143,SMIT/DM/044,Hina Hussain,10,24,42,76,100,76.0,B,DM
144,SMIT/DM/045,Noor Iqbal,16,12,34,62,100,62.0,C,DM
145,SMIT/DM/046,Ahmed Zahid,12,18,44,74,100,74.0,B,DM
146,SMIT/DM/047,David Ahmed,17,23,43,83,100,83.0,A,DM
147,SMIT/DM/048,Fatima Malik,19,5,33,57,100,56.99999999999999,C,DM
148,SMIT/DM/049,Ayesha Brown,15,9,13,37,100,37.0,F,DM
149,SMIT/DM/050,Sara Smith,17,6,47,70,100,70.0,C,DM
150,SMIT/DM/051,David Khan,10,5,45,60,100,60.0,C,DM
151,SMIT/DM/052,Ali Hussain,8,22,17,47,100,47.0,F,DM
152,SMIT/DM/053,Noor Brown,7,20,40,67,100,67.0,C,DM
153,SMIT/DM/054,Ali Brown,13,12,9,34,100,34.0,F,DM
154,SMIT/DM/055,Hina Brown,3,6,1,10,100,10.0,F,DM
155,SMIT/DM/056,Hina Zahid,12,24,1,37,100,37.0,F,DM
156,SMIT/DM/057,John Malik,6,8,41,55,100,55.00000000000001,C,DM
157,SMIT/DM/058,Sara Iqbal,8,23,4,35,100,35.0,F,DM
158,SMIT/DM/059,Michael Ahmed,12,7,36,55,100,55.00000000000001,C,DM
159,SMIT/DM/060,Sara Khan,2,23,34,59,100,59.0,C,DM
160,SMIT/DM/061,Hina Ali,16,16,30,62,100,62.0,C,DM
161,SMIT/DM/062,Noor Ali,11,20,27,58,100,57.99999999999999,C,DM
162,SMIT/DM/063,Ayesha Malik,17,13,29,59,100,59.0,C,DM
163,SMIT/DM/064,Michael Johnson,6,14,13,33,100,33.0,F,DM
164,SMIT/DM/065,Ayesha Khan,21,2,48,71,100,71.0,B,DM
165,SMIT/DM/066,John Hussain,5,15,6,26,100,26.0,F,DM
166,SMIT/DM/067,John Iqbal,6,2,31,39,100,39.0,F,DM
167,SMIT/DM/068,Ahmed Hussain,7,17,13,37,100,37.0,F,DM
168,SMIT/DM/069,John Malik,23,2,3,28,100,28.000000000000004,F,DM
169,SMIT/DM/070,Hina Iqbal,8,24,6,38,100,38.0,F,DM
170,SMIT/DM/071,Michael Brown,21,16,11,48,100,48.0,F,DM
171,SMIT/DM/072,Ali Zahid,3,19,14,36,100,36.0,F,DM
172,SMIT/DM/073,Ali Brown,5,11,18,34,100,34.0,F,DM
173,SMIT/DM/074,Fatima Ahmed,25,13,10,48,100,48.0,F,DM
174,SMIT/DM/075,Noor Malik,4,8,2,14,100,14.000000000000002,F,DM
175,SMIT/DM/076,Ahmed Johnson,15,17,10,42,100,42.0,F,DM
176,SMIT/DM/077,Hina Brown,3,12,5,20,100,20.0,F,DM
177,SMIT/DM/078,Sara Khan,0,12,13,25,100,25.0,F,DM
178,SMIT/DM/079,Hina Ahmed,11,25,11,47,100,47.0,F,DM
179,SMIT/DM/080,Ali Malik,10,18,39,67,100,67.0,C,DM
180,SMIT/DM/081,Ayesha Johnson,18,18,44,80,100,80.0,B,DM
181,SMIT/DM/082,David Khan,9,24,29,62,100,62.0,C,DM
182,SMIT/DM/083,Fatima Ali,19,4,30,53,100,53.0,C,DM
183,SMIT/DM/084,Hina Brown,25,13,2,40,100,40.0,F,DM
184,SMIT/DM/085,David Malik,10,25,50,85,100,85.0,A,DM
185,SMIT/DM/086,Ali Ahmed,20,9,34,63,100,63.0,C,DM
186,SMIT/DM/087,David Ahmed,12,25,16,53,100,53.0,C,DM
187,SMIT/DM/088,Sara Smith,6,12,7,25,100,25.0,F,DM
188,SMIT/DM/089,David Hussain,24,6,19,49,100,49.0,F,DM
189,SMIT/DM/090,Noor Zahid,4,22,15,41,100,41.0,F,DM
190,SMIT/DM/091,Noor Johnson,20,24,21,65,100,65.0,C,DM
191,SMIT/DM/092,Michael Iqbal,24,3,30,57,100,56.99999999999999,C,DM
192,SMIT/DM/093,Hina Khan,0,21,25,46,100,46.0,F,DM
193,SMIT/DM/094,Michael Smith,7,25,50,82,100,82.0,A,DM
194,SMIT/DM/095,Ayesha Smith,14,21,2,37,100,37.0,F,DM
195,SMIT/DM/096,Ayesha Brown,9,17,21,47,100,47.0,F,DM
196,SMIT/DM/097,Ayesha Iqbal,10,3,11,24,100,24.0,F,DM
197,SMIT/DM/098,Ayesha Ahmed,12,17,45,74,100,74.0,B,DM
198,SMIT/DM/099,Hina Hussain,17,19,41,77,100,77.0,B,DM
199,SMIT/DM/100,Fatima Ali,22,16,34,72,100,72.0,B,DM
200,SMIT/UIUX/001,Fatima Brown,22,16,42,80,100,80.0,B,UIUX
201,SMIT/UIUX/002,Fatima Hussain,20,11,34,65,100,65.0,C,UIUX
202,SMIT/UIUX/003,Michael Hussain,16,11,7,34,100,34.0,F,UIUX
203,SMIT/UIUX/004,John Ahmed,21,14,48,83,100,83.0,A,UIUX
204,SMIT/UIUX/005,Ali Johnson,13,13,20,46,100,46.0,F,UIUX
205,SMIT/UIUX/006,Michael Ahmed,0,14,1,15,100,15.0,F,UIUX
206,SMIT/UIUX/007,Sara Johnson,7,7,22,36,100,36.0,F,UIUX
207,SMIT/UIUX/008,Noor Zahid,17,5,14,36,100,36.0,F,UIUX
208,SMIT/UIUX/009,John Khan,13,4,41,58,100,57.99999999999999,C,UIUX
209,SMIT/UIUX/010,Ayesha Ali,15,22,23,60,100,60.0,C,UIUX
210,SMIT/UIUX/011,Ahmed Hussain,15,4,41,60,100,60.0,C,UIUX
211,SMIT/UIUX/012,Ahmed Brown,0,5,37,42,100,42.0,F,UIUX
212,SMIT/UIUX/013,Ali Brown,1,17,42,60,100,60.0,C,UIUX
213,SMIT/UIUX/014,Ayesha Smith,25,7,0,32,100,32.0,F,UIUX
214,SMIT/UIUX/015,Sara Khan,20,13,16,49,100,49.0,F,UIUX
215,SMIT/UIUX/016,Ali Khan,15,17,0,32,100,32.0,F,UIUX
216,SMIT/UIUX/017,John Ahmed,11,14,26,51,100,51.0,C,UIUX
217,SMIT/UIUX/018,Fatima Hussain,12,21,5,38,100,38.0,F,UIUX
218,SMIT/UIUX/019,Fatima Hussain,8,15,24,47,100,47.0,F,UIUX
219,SMIT/UIUX/020,Hina Zahid,18,3,50,71,100,71.0,B,UIUX
220,SMIT/UIUX/021,Ahmed Ahmed,14,12,47,73,100,73.0,B,UIUX
221,SMIT/UIUX/022,David Ali,12,7,42,61,100,61.0,C,UIUX
222,SMIT/UIUX/023,Ayesha Johnson,10,14,41,65,100,65.0,C,UIUX
223,SMIT/UIUX/024,Hina Zahid,16,1,49,66,100,66.0,C,UIUX
224,SMIT/UIUX/025,Noor Hussain,1,14,4,19,100,19.0,F,UIUX
225,SMIT/UIUX/026,Noor Ali,11,23,44,78,100,78.0,B,UIUX
226,SMIT/UIUX/027,Hina Johnson,25,14,5,44,100,44.0,F,UIUX
227,SMIT/UIUX/028,Ayesha Zahid,25,22,14,61,100,61.0,C,UIUX
228,SMIT/UIUX/029,David Iqbal,22,7,23,52,100,52.0,C,UIUX
229,SMIT/UIUX/030,David Khan,0,25,4,29,100,28.999999999999996,F,UIUX
230,SMIT/UIUX/031,Ayesha Malik,17,16,40,73,100,73.0,B,UIUX
231,SMIT/UIUX/032,Fatima Ali,12,2,27,41,100,41.0,F,UIUX
232,SMIT/UIUX/033,Ayesha Smith,21,22,49,92,100,92.0,A,UIUX
233,SMIT/UIUX/034,Ali Iqbal,18,2,0,20,100,20.0,F,UIUX
234,SMIT/UIUX/035,Ayesha Hussain,7,11,40,58,100,57.99999999999999,C,UIUX
235,SMIT/UIUX/036,Ahmed Iqbal,22,1,45,68,100,68.0,C,UIUX
236,SMIT/UIUX/037,Fatima Hussain,9,18,2,29,100,28.999999999999996,F,UIUX
237,SMIT/UIUX/038,David Johnson,5,20,6,31,100,31.0,F,UIUX
238,SMIT/UIUX/039,Hina Khan,7,12,30,49,100,49.0,F,UIUX
239,SMIT/UIUX/040,Michael Zahid,4,17,28,49,100,49.0,F,UIUX
240,SMIT/UIUX/041,David Johnson,24,18,29,71,100,71.0,B,UIUX
241,SMIT/UIUX/042,Noor Smith,1,8,26,35,100,35.0,F,UIUX
242,SMIT/UIUX/043,David Ahmed,11,1,33,45,100,45.0,F,UIUX
243,SMIT/UIUX/044,Ahmed Brown,4,16,10,30,100,30.0,F,UIUX
244,SMIT/UIUX/045,David Smith,9,19,0,28,100,28.000000000000004,F,UIUX
245,SMIT/UIUX/046,Sara Smith,11,15,2,28,100,28.000000000000004,F,UIUX
246,SMIT/UIUX/047,Ahmed Johnson,24,14,0,38,100,38.0,F,UIUX
247,SMIT/UIUX/048,Ahmed Malik,24,9,39,72,100,72.0,B,UIUX
248,SMIT/UIUX/049,Ayesha Khan,10,2,20,32,100,32.0,F,UIUX
249,SMIT/UIUX/050,Hina Malik,14,0,26,40,100,40.0,F,UIUX
250,SMIT/UIUX/051,Sara Khan,1,0,17,18,100,18.0,F,UIUX
251,SMIT/UIUX/052,Noor Ali,24,4,0,28,100,28.000000000000004,F,UIUX
252,SMIT/UIUX/053,Fatima Hussain,9,25,22,56,100,56.00000000000001,C,UIUX
253,SMIT/UIUX/054,Hina Brown,13,20,44,77,100,77.0,B,UIUX
254,SMIT/UIUX/055,Noor Smith,17,4,25,46,100,46.0,F,UIUX
255,SMIT/UIUX/056,Michael Zahid,6,15,19,40,100,40.0,F,UIUX
256,SMIT/UIUX/057,Ahmed Khan,12,25,9,46,100,46.0,F,UIUX
257,SMIT/UIUX/058,John Smith,16,6,9,31,100,31.0,F,UIUX
258,SMIT/UIUX/059,Noor Johnson,11,10,28,49,100,49.0,F,UIUX
259,SMIT/UIUX/060,Ayesha Ahmed,18,23,9,50,100,50.0,F,UIUX
260,SMIT/UIUX/061,Ayesha Khan,8,12,30,50,100,50.0,F,UIUX
261,SMIT/UIUX/062,Sara Smith,0,13,19,32,100,32.0,F,UIUX
262,SMIT/UIUX/063,David Ali,1,9,33,43,100,43.0,F,UIUX
263,SMIT/UIUX/064,Ahmed Khan,7,15,2,24,100,24.0,F,UIUX
264,SMIT/UIUX/065,Ahmed Malik,20,1,24,45,100,45.0,F,UIUX
265,SMIT/UIUX/066,Michael Khan,9,14,46,69,100,69.0,C,UIUX
266,SMIT/UIUX/067,Fatima Khan,3,18,13,34,100,34.0,F,UIUX
267,SMIT/UIUX/068,Ayesha Malik,20,25,15,60,100,60.0,C,UIUX
268,SMIT/UIUX/069,Ali Ali,23,19,10,52,100,52.0,C,UIUX
269,SMIT/UIUX/070,Ahmed Malik,21,23,18,62,100,62.0,C,UIUX
270,SMIT/UIUX/071,Michael Khan,4,25,35,64,100,64.0,C,UIUX
271,SMIT/UIUX/072,Ahmed Ahmed,6,24,20,50,100,50.0,F,UIUX
272,SMIT/UIUX/073,David Smith,10,1,40,51,100,51.0,C,UIUX
273,SMIT/UIUX/074,John Johnson,11,6,18,35,100,35.0,F,UIUX
274,SMIT/UIUX/075,John Ali,0,24,3,27,100,27.0,F,UIUX
275,SMIT/UIUX/076,Fatima Khan,5,16,49,70,100,70.0,C,UIUX
276,SMIT/UIUX/077,Ahmed Ahmed,2,18,7,27,100,27.0,F,UIUX
277,SMIT/UIUX/078,Noor Zahid,5,15,42,62,100,62.0,C,UIUX
278,SMIT/UIUX/079,John Ali,14,15,46,75,100,75.0,B,UIUX
279,SMIT/UIUX/080,Fatima Brown,11,20,20,51,100,51.0,C,UIUX
280,SMIT/UIUX/081,Hina Khan,4,17,23,44,100,44.0,F,UIUX
281,SMIT/UIUX/082,Michael Malik,25,18,20,63,100,63.0,C,UIUX
282,SMIT/UIUX/083,Hina Zahid,21,2,6,29,100,28.999999999999996,F,UIUX
283,SMIT/UIUX/084,Michael Ahmed,22,4,10,36,100,36.0,F,UIUX
284,SMIT/UIUX/085,Ali Zahid,13,22,12,47,100,47.0,F,UIUX
285,SMIT/UIUX/086,Noor Hussain,3,7,30,40,100,40.0,F,UIUX
286,SMIT/UIUX/087,Sara Zahid,3,0,50,53,100,53.0,C,UIUX
287,SMIT/UIUX/088,John Ali,6,3,16,25,100,25.0,F,UIUX
288,SMIT/UIUX/089,Ali Brown,19,25,42,86,100,86.0,A,UIUX
289,SMIT/UIUX/090,Ayesha Johnson,8,25,40,73,100,73.0,B,UIUX
290,SMIT/UIUX/091,Fatima Smith,4,0,27,31,100,31.0,F,UIUX
291,SMIT/UIUX/092,Ahmed Zahid,22,24,44,90,100,90.0,A,UIUX
292,SMIT/UIUX/093,Ayesha Malik,13,8,17,38,100,38.0,F,UIUX
293,SMIT/UIUX/094,Hina Ahmed,23,1,40,64,100,64.0,C,UIUX
294,SMIT/UIUX/095,Ahmed Smith,16,8,16,40,100,40.0,F,UIUX
295,SMIT/UIUX/096,Ahmed Hussain,19,12,34,65,100,65.0,C,UIUX
296,SMIT/UIUX/097,John Khan,11,5,28,44,100,44.0,F,UIUX
297,SMIT/UIUX/098,John Brown,22,19,15,56,100,56.00000000000001,C,UIUX
298,SMIT/UIUX/099,Sara Ali,15,4,26,45,100,45.0,F,UIUX
299,SMIT/UIUX/100,Fatima Johnson,22,8,2,32,100,32.0,F,UIUX
300,SMIT/GD/001,Ali Johnson,12,22,15,49,100,49.0,F,GD
301,SMIT/GD/002,Noor Johnson,14,6,13,33,100,33.0,F,GD
302,SMIT/GD/003,John Johnson,9,13,15,37,100,37.0,F,GD
303,SMIT/GD/004,Ayesha Malik,23,25,27,75,100,75.0,B,GD
304,SMIT/GD/005,Hina Smith,19,8,11,38,100,38.0,F,GD
305,SMIT/GD/006,Hina Zahid,16,21,35,72,100,72.0,B,GD
306,SMIT/GD/007,Michael Ali,2,4,38,44,100,44.0,F,GD
307,SMIT/GD/008,John Khan,22,23,30,75,100,75.0,B,GD
308,SMIT/GD/009,Ali Zahid,23,14,5,42,100,42.0,F,GD
309,SMIT/GD/010,Hina Brown,21,5,40,66,100,66.0,C,GD
310,SMIT/GD/011,Noor Johnson,17,24,24,65,100,65.0,C,GD
311,SMIT/GD/012,Ahmed Zahid,13,17,29,59,100,59.0,C,GD
312,SMIT/GD/013,David Hussain,3,20,2,25,100,25.0,F,GD
313,SMIT/GD/014,Fatima Iqbal,15,1,12,28,100,28.000000000000004,F,GD
314,SMIT/GD/015,Sara Brown,20,25,4,49,100,49.0,F,GD
315,SMIT/GD/016,Michael Johnson,12,14,22,48,100,48.0,F,GD
316,SMIT/GD/017,Michael Ahmed,3,3,11,17,100,17.0,F,GD
317,SMIT/GD/018,Ahmed Johnson,20,10,30,60,100,60.0,C,GD
318,SMIT/GD/019,Hina Brown,19,17,7,43,100,43.0,F,GD
319,SMIT/GD/020,Noor Malik,8,8,1,17,100,17.0,F,GD
320,SMIT/GD/021,Ahmed Iqbal,6,16,5,27,100,27.0,F,GD
321,SMIT/GD/022,John Malik,16,3,3,22,100,22.0,F,GD
322,SMIT/GD/023,Sara Malik,3,10,9,22,100,22.0,F,GD
323,SMIT/GD/024,Hina Ali,23,15,48,86,100,86.0,A,GD
324,SMIT/GD/025,Michael Hussain,15,23,27,65,100,65.0,C,GD
325,SMIT/GD/026,David Smith,1,12,47,60,100,60.0,C,GD
326,SMIT/GD/027,Michael Johnson,18,14,40,72,100,72.0,B,GD
327,SMIT/GD/028,Ahmed Zahid,8,16,24,48,100,48.0,F,GD
328,SMIT/GD/029,Michael Malik,11,21,44,76,100,76.0,B,GD
329,SMIT/GD/030,Ayesha Hussain,17,15,24,56,100,56.00000000000001,C,GD
330,SMIT/GD/031,Ahmed Brown,6,10,5,21,100,21.0,F,GD
331,SMIT/GD/032,David Johnson,3,1,20,24,100,24.0,F,GD
332,SMIT/GD/033,Fatima Ali,13,9,50,72,100,72.0,B,GD
333,SMIT/GD/034,Ayesha Khan,21,4,45,70,100,70.0,C,GD
334,SMIT/GD/035,John Ahmed,20,9,23,52,100,52.0,C,GD
